,id,body,author,author_id,fav_count,created_at,updated_at,cleaned_body
0,152322279,"daha sonra dönüp bakmak için tahminimi yazmak istiyorum: <br><br>cumhurbaşkanlığı: <br><br>kemal dedem %51,5-52 <br>rte %43-45<br>soğan %2-3<br><br>meclis için: <br>akp 32<br>chp 30<br>iyi parti 13<br>yeşil parti 12<br>mhp 8<br>diğerleri 5 <br><br>umarım kemal dedemin kazandığı, suçluların hesabının sorulması için milat olacak bir seçim olur. <br><br>sandıkları boş bırakmayalım, herkes kendi sandığındaki oy sayımını izlesin. <br><br>gazamız mübarek olsun. allah yardımcımız olsun.",bertsacmalamasanainsangibisoyluyorum,1969006,3,13.05.2023 22:48,13.05.2023 23:16,"daha sonra dönüp bakmak için tahminimi yazmak istiyorum: cumhurbaşkanlığı: kemal dedem %51,5-52 rte %43-45soğan %2-3meclis için: akp 32chp 30iyi parti 13yeşil parti 12mhp 8diğerleri 5 umarım kemal dedemin kazandığı, suçluların hesabının sorulması için milat olacak bir seçim olur. sandıkları boş bırakmayalım, herkes kendi sandığındaki oy sayımını izlesin. gazamız mübarek olsun. allah yardımcımız olsun."
1,152322299,"bir kez daha “yazık oldu…” demek istemediğim demokrasi şenliği türkiye ayağı. pek dillendirilmese de bu rejimin hepimize gençlik dışında ödemesi gereken, orta yaş ve huzurlu bir yaşlılık borcu var. çalışandan bahsediyorum, emekçiden.<br><br>en basiti kendi hayatımın içinden kıyasladığımda, önceki dönemlerde yaptığım işin ederi ile şu yaşlarda araba, ev alınmış, yazlık da hedefleniyor olurdu. eşimle varabildiğimiz nokta sadece araba oldu ki onun da muteber bir mesleği var. ev almak bir fikir bile değil, uygun kredi dalgalarını yakalayamadık. ailelerden bırak kalanı maddi yükleri hala üstümüzde. orta yaşımla beraber düşen performans ve verimimin bedensel yönümü zayıflatması bana bunları düşündürür oldu son zamanlarda. bu kaybın karşılığında bilgi ve ustalığın yükselmesinin getirisinin çok düşmesiyle yorucu ve mücadele dolu bir yaşlılığın bizi beklediğini söyleyebiliriz.<br><br>şansımıza bu rejim olma düşündeki talan yönetimi ideolojik olarak kendini inşa edemediğinden kurtulması düşünüldüğü kadar zor olmayan bir oluşa sahip. bir yandan da bu az katmanlı örgütsel yapının ortak noktasının komisyonculuk üzerinden para olması, aynı ponzilerdeki gibi sisteme yeni üye girişinin devam ettiği sürece sorunsuz devamını sağlıyor. burada ana konu devlet ve onun enstrümanları olduğundan en basit mantıkla özelleştirme, zor zamanların kurtarıcısı olarak sisteme yeni giren üyeler gibi can simidi oldu.<br><br>bu çarkın sistemsel basitliği, organizasyonun ifşa ya da çözümünü kolaylaştırırken, komplike olmayan yapısı ile çıkabilecek sorunları azaltmış ve basit çözümlerden fazlasına ihtiyaç duymayan bir hale gelmiştir.<br><br>şu noktada daha da yazmanın çok bir anlamı yok. yarın bir şeyler değişsin ve evrensel dile uyan ama otantikliğine bağlı bir ülkeye uyumak istiyorum. korkum ise sistemlerinin henüz çökmemiş olmasına rağmen gitmelerinin nasıl sağlanacağıdır. %30 gibi konsolide tabanlarının cehaleti, özgüveni ve eğitimsizliği çok belirleyici olacak. çünkü ne olursa olsun muhalefetin başarmaya çalıştığı “bir” olma hali, ülkenin dinamikleri açısından hem zor hem de aşırı kapsayıcı yaklaşımı sebebiyle bir bombaydı. bunu patlatmadan asgari şekilde başardıklarını düşünüyorum. herkesin aşırı mutsuz ve tamamlanamamış olma duygusundan dolayı bir cephe oluşturmak zordu. ama başardı elinden geldiğince.<br><br>o yüzden yazık oldu demeyeceğim bir akşam istiyorum. ne yazık ki bu biraz zor. umarım yanılırım.",reyals,33859,1,13.05.2023 22:49,14.05.2023 09:44,"bir kez daha “yazık oldu…” demek istemediğim demokrasi şenliği türkiye ayağı. pek dillendirilmese de bu rejimin hepimize gençlik dışında ödemesi gereken, orta yaş ve huzurlu bir yaşlılık borcu var. çalışandan bahsediyorum, emekçiden.en basiti kendi hayatımın içinden kıyasladığımda, önceki dönemlerde yaptığım işin ederi ile şu yaşlarda araba, ev alınmış, yazlık da hedefleniyor olurdu. eşimle varabildiğimiz nokta sadece araba oldu ki onun da muteber bir mesleği var. ev almak bir fikir bile değil, uygun kredi dalgalarını yakalayamadık. ailelerden bırak kalanı maddi yükleri hala üstümüzde. orta yaşımla beraber düşen performans ve verimimin bedensel yönümü zayıflatması bana bunları düşündürür oldu son zamanlarda. bu kaybın karşılığında bilgi ve ustalığın yükselmesinin getirisinin çok düşmesiyle yorucu ve mücadele dolu bir yaşlılığın bizi beklediğini söyleyebiliriz.şansımıza bu rejim olma düşündeki talan yönetimi ideolojik olarak kendini inşa edemediğinden kurtulması düşünüldüğü kadar zor olmayan bir oluşa sahip. bir yandan da bu az katmanlı örgütsel yapının ortak noktasının komisyonculuk üzerinden para olması, aynı ponzilerdeki gibi sisteme yeni üye girişinin devam ettiği sürece sorunsuz devamını sağlıyor. burada ana konu devlet ve onun enstrümanları olduğundan en basit mantıkla özelleştirme, zor zamanların kurtarıcısı olarak sisteme yeni giren üyeler gibi can simidi oldu.bu çarkın sistemsel basitliği, organizasyonun ifşa ya da çözümünü kolaylaştırırken, komplike olmayan yapısı ile çıkabilecek sorunları azaltmış ve basit çözümlerden fazlasına ihtiyaç duymayan bir hale gelmiştir.şu noktada daha da yazmanın çok bir anlamı yok. yarın bir şeyler değişsin ve evrensel dile uyan ama otantikliğine bağlı bir ülkeye uyumak istiyorum. korkum ise sistemlerinin henüz çökmemiş olmasına rağmen gitmelerinin nasıl sağlanacağıdır. %30 gibi konsolide tabanlarının cehaleti, özgüveni ve eğitimsizliği çok belirleyici olacak. çünkü ne olursa olsun muhalefetin başarmaya çalıştığı “bir” olma hali, ülkenin dinamikleri açısından hem zor hem de aşırı kapsayıcı yaklaşımı sebebiyle bir bombaydı. bunu patlatmadan asgari şekilde başardıklarını düşünüyorum. herkesin aşırı mutsuz ve tamamlanamamış olma duygusundan dolayı bir cephe oluşturmak zordu. ama başardı elinden geldiğince.o yüzden yazık oldu demeyeceğim bir akşam istiyorum. ne yazık ki bu biraz zor. umarım yanılırım."
2,152322312,2018de olduğu gibi ağzımıza bal çalacaklardır…rte 51le kazanacak muhaliflerde tüh zaten doğru aday değildi diyerek imamoğlu’na bel bağlayıp 2028i bekleyecektir…erzurumda 100 kişi taş attı 1000 kişi seyretti…rte yine sokağa çıkarız dedi kk sessiz kaldı merak etme bende sokakta olacağım diyemedi…göze göz dişe diş diyecek biri olmadan muhalefet şamar oğlanı olmaya devam eder,cemmarmara,2685213,3,13.05.2023 22:49,,2018de olduğu gibi ağzımıza bal çalacaklardır…rte 51le kazanacak muhaliflerde tüh zaten doğru aday değildi diyerek imamoğlu’na bel bağlayıp 2028i bekleyecektir…erzurumda 100 kişi taş attı 1000 kişi seyretti…rte yine sokağa çıkarız dedi kk sessiz kaldı merak etme bende sokakta olacağım diyemedi…göze göz dişe diş diyecek biri olmadan muhalefet şamar oğlanı olmaya devam eder
3,152322842,"türkiye tarihinin en kritik seçimi diyebiliriz.<br>bir tarafta devletin bütün gücünü, imkanlarını kendi siyasi propagandası için kullanan ve medyayı ele geçirmiş türk halkını manipüle eden bir aday, öbür tarafta kısıtlı imkanlarla halka sesini duyurmaya çalışan, türk halkını bu köhnemiş zihniyetten kurtarmaya çalışan bir aday var. <br><br>oy oranlarının kafa kafaya olduğunu tahmin etmek zor değil. gidin ve oyunuzu kullanın.",sol durak,1882923,2,13.05.2023 22:59,,"türkiye tarihinin en kritik seçimi diyebiliriz.bir tarafta devletin bütün gücünü, imkanlarını kendi siyasi propagandası için kullanan ve medyayı ele geçirmiş türk halkını manipüle eden bir aday, öbür tarafta kısıtlı imkanlarla halka sesini duyurmaya çalışan, türk halkını bu köhnemiş zihniyetten kurtarmaya çalışan bir aday var. oy oranlarının kafa kafaya olduğunu tahmin etmek zor değil. gidin ve oyunuzu kullanın."
4,152322863,hayatımın en önemli günü ve olayı olmaya gebedir.,evde oturan hantal kedi,1775506,0,13.05.2023 22:59,,hayatımın en önemli günü ve olayı olmaya gebedir.
5,152322940,"bu seçimin sonucu ne olursa olsun başta kılıçdaroğlu, imamoğlu, yavaş ve aksener olmak üzere muhalefet bloğunun göstermiş olduğu özveri için teşekkür ederim. siz elinizden geleni yaptınız, bundan sonrası halkta. yarın güzel günlere",hergecemehtabacikanadam,1135454,7,13.05.2023 23:01,,"bu seçimin sonucu ne olursa olsun başta kılıçdaroğlu, imamoğlu, yavaş ve aksener olmak üzere muhalefet bloğunun göstermiş olduğu özveri için teşekkür ederim. siz elinizden geleni yaptınız, bundan sonrası halkta. yarın güzel günlere"
6,152323133,eğer evlenmeyi düşünüyorsanız bay kemal'e oyunuzu verin. yok ben whatsapptan yazarım diyorsanız o sizin bileceğiniz iş.,erratio,1367305,1,13.05.2023 23:04,,eğer evlenmeyi düşünüyorsanız bay kemal'e oyunuzu verin. yok ben whatsapptan yazarım diyorsanız o sizin bileceğiniz iş.
7,152323213,"(bkz: <a class=""b"" href=""/entry/79251956"">#79251956</a>)<br><br>2018 seçimlerinden sonra yazdığım bir entry. çok tedirginim yine. umarım makus talihi yeneriz bu sefer. <br><br>bu seçimi de kazanamazsak kemal, sinan ve ince kişilerini hiç affetmem. ince'yi kazansak da affetmeyeceğim gerçi, benim için bitmiştir.",iks kare eksi yedi,1511374,0,13.05.2023 23:05,,"(bkz: #79251956)2018 seçimlerinden sonra yazdığım bir entry. çok tedirginim yine. umarım makus talihi yeneriz bu sefer. bu seçimi de kazanamazsak kemal, sinan ve ince kişilerini hiç affetmem. ince'yi kazansak da affetmeyeceğim gerçi, benim için bitmiştir."
8,152323652,"inanılmaz gerginim sözlük öyle böyle değil.iş hayatım ve özel hayatım bok gibi gidiyor şu anda.32 yaşındayım,gençliğimin en güzel yılları ne yazıkki çalındı.oy kullandığım her seçimde ümidim vardı ama şu anda gram ümidim yok.umarım pazartesi sabahına göt olmuş şekilde uyanırım.",estalus,492229,6,13.05.2023 23:13,,"inanılmaz gerginim sözlük öyle böyle değil.iş hayatım ve özel hayatım bok gibi gidiyor şu anda.32 yaşındayım,gençliğimin en güzel yılları ne yazıkki çalındı.oy kullandığım her seçimde ümidim vardı ama şu anda gram ümidim yok.umarım pazartesi sabahına göt olmuş şekilde uyanırım."
9,152323896,yarın oy atmayacağım seçimlerdir.,komple,1768887,0,13.05.2023 23:17,,yarın oy atmayacağım seçimlerdir.
