,id,body,author,author_id,fav_count,created_at,updated_at,cleaned_body
0,152305089,ayıkla bizi şu bataklıktan be adam.<br><br>etiğimizle kemiğimizle koca ülke siyaset çöplüğüne battık artık ayıkla bizi...,tecrubeli yargic,1313658,2,13.05.2023 15:39,,ayıkla bizi şu bataklıktan be adam.etiğimizle kemiğimizle koca ülke siyaset çöplüğüne battık artık ayıkla bizi...
1,152305377,"terörist diyorlar. kerem kılıçdaroğlu askere gidiyor.<br><br>pkk desteği diyorlar. kemal kılıçdaroğluna terör saldırısı yapılıyor. koruma polisi şehit oluyor.<br><br>terörist diyorlar. abdullah öcalana 1 ay önce heyet gönderiyorlar.<br><br>pkk desteği diyorlar. hizbullahçıları milletvekili yapıp, ittifaka alıyorlar.<br><br>dinsiz diyorlar. tüm muhalefet oy çaldırmamak için nöbet tutuyor.<br><br>fetöcü diyorlar. yıllarca devletin ana kademelerini onlara teslim ediyorlar. askeriyenin içindeki atatürkçü türk subaylarını tasviye edip, fetöcüleri dolduruyorlar.<br><br>ateist diyorlar. ateistler dua ediyor. oylarımız çalınmasın diyor.<br><br>muharrem inceye kumpas diyorlar. kemal kılıçdaroğlu genel başkanlığı kaybeden rakibini diğer seçim cumhurbaşkanı adayı gösteriyor. halil ibrahim sofrasına buyur diyor.<br><br>senelerce fetöcülerle savaş verirsin, fetöcü derler.<br><br>kim teröre destek veriyorsa allah bin belasını versin dersin, terörist derler.<br><br>1 kanala çıkarsın. 28 kanal onları gösterir. medya onlarda derler.<br><br>derler de derler. 24 saat sonra da giderler.<br><br>ben kemal geliyorum!",i never dreamed,1698337,11,13.05.2023 15:46,13.05.2023 15:48,"terörist diyorlar. kerem kılıçdaroğlu askere gidiyor.pkk desteği diyorlar. kemal kılıçdaroğluna terör saldırısı yapılıyor. koruma polisi şehit oluyor.terörist diyorlar. abdullah öcalana 1 ay önce heyet gönderiyorlar.pkk desteği diyorlar. hizbullahçıları milletvekili yapıp, ittifaka alıyorlar.dinsiz diyorlar. tüm muhalefet oy çaldırmamak için nöbet tutuyor.fetöcü diyorlar. yıllarca devletin ana kademelerini onlara teslim ediyorlar. askeriyenin içindeki atatürkçü türk subaylarını tasviye edip, fetöcüleri dolduruyorlar.ateist diyorlar. ateistler dua ediyor. oylarımız çalınmasın diyor.muharrem inceye kumpas diyorlar. kemal kılıçdaroğlu genel başkanlığı kaybeden rakibini diğer seçim cumhurbaşkanı adayı gösteriyor. halil ibrahim sofrasına buyur diyor.senelerce fetöcülerle savaş verirsin, fetöcü derler.kim teröre destek veriyorsa allah bin belasını versin dersin, terörist derler.1 kanala çıkarsın. 28 kanal onları gösterir. medya onlarda derler.derler de derler. 24 saat sonra da giderler.ben kemal geliyorum!"
2,152305407,"10 mayıs 2010da baykal istifa etti.<br>11 mayıs 2023te ince istifa etti. <br><br>ıki chp'nin has evladı da kaset operasyona yenik düştü. <br>tesadüfe bakın ki ikisinde de meydan nasıl olduysa artık kk'ya kaldı. <br><br>y-chp, inceyi bitirmek için o kadar bütün tuşlara basti ki, iftiralar, hakaretleri yaparken hiç ellerini korkak alıştırmadilar. ne de olsa akşener'i aynı şekilde hakaretler, linç kampanyalari ile yenmişlerdi ve diz cokturmuslerdi. aynı taktiğin ince'de işe yaramamasi imkansızdı. ince'ye oy vereceğini söylüyenlere edilmedik hakaret kalmadı, herkese aktrol, rende binası çalışanı, maaşlı trol dendi. <br><br>bütün bunları yaparken istisnasız hepsi sahte anketler ile ince secmenini yıldırmak istediler. türk siyaset tarihinde eşi benzeri görülmemiş bir linç kampanyasına uğradı muharrem ince. <br><br>en sonunda y-chpnin kanalları sahte kasetin üzerinde tepinip ""ozel hayata saygı duyulmalı"" bile dediler. hiç tereddüt etmeden inceyi bitirmek için ne kadar aşağılık operasyon varsa daniskasini yaptılar. <br><br>inceyi bitirmek için ortaya attıkları sahte anketler şimdi y-chpnin eline ayağına dolanacak. kk yüzde 60 ile seçilecegim diyordu. y-chpnin götüne don alacak parası olmayan gururunu haysiyetini satılığa çıkarmış açlıktan nefesi kokan anketcilere yaptırdığı anketlerde yüzde 53 alan kk, şimdi dimdizlak ortada kaldı. <br><br>o sahte anketler, sahte videolar, hakaretler, iftiralar sonunda inceyi devre dışı bıraktırdı ama 14 mayıs'ta kk'nin yüzde 40 bile alamayıp erdoğan'a kaybettiği ortaya çıktığında tarih bir kez daha muharrem inceyi haklı çıkaracak.<br><br>alevi mezhepçiliginden gözü dönmüş y-chpliler hiçbir ahlaki değeri gözetmeden saldırdı muharrem inceye. 13 yıldır her kaybettikleri seçimde nasıl ki utanmadan istifa etmedilerse, yine de istifa etmemek için her şeyi yapacaklar. maalesef üzülerek belirtmek isterim ki mezhepçi olmayan sünni laik sekuler chp'li seçmen korkusundan bu mezhepçilere sesini çıkaramadi. akşenere ve inceye yapılanları gördükten sonra herkes ağzını yumdu, mezhepçilerin şerrinden korkup, muharrem inceye yapılan itibar suikastlerine sessiz kaldılar. böyle mi seçim kazanacağız, bel altı vurarak mi seçim kazanacağız, yıllardır akp'nin bize yaptıklarını inceye yaparak mi seçim kazanacağız diyemediler. ağızlarıni açıp bu kadarı da fazla dediklerinde o mezhepçi y-chpliler anında yoksa sen de mi aktrolsun diyeceklerini bildikleri için muharrem inceye yapılanları tiyatro izler gibi izlediler. chp'nin has evladı 40 yıllık chp'li muharrem inceye sarayın adamı dediklerinde, saraydan para aldı dediklerinde mezhepçilere kimse çıkıp da tepki göstermedi, yazıktır, yapmayın, etmeyin demediler. ömrü hayatında 1 kez bile siyasal islam'ın temsilcisi akp'ye oy vermemiş ince seçmenlerine aktrol dediler. <br><br>o sizin piro dedeniz, 14 mayıs'ta yüzde 40 bile alamadığı ortaya çıktığında tıpış tıpış istifa edecek. öyle eskiden olduğu gibi oyumuzu artırdık diyip chp genel başkanı koltuğunda oturma devri kapandı. muharrem ince y-chpye asla teslim olmaz, bu mücadele burada bitmedi, bitmeyecek.",konigheinrich,1250444,5,13.05.2023 15:47,13.05.2023 15:56,"10 mayıs 2010da baykal istifa etti.11 mayıs 2023te ince istifa etti. ıki chp'nin has evladı da kaset operasyona yenik düştü. tesadüfe bakın ki ikisinde de meydan nasıl olduysa artık kk'ya kaldı. y-chp, inceyi bitirmek için o kadar bütün tuşlara basti ki, iftiralar, hakaretleri yaparken hiç ellerini korkak alıştırmadilar. ne de olsa akşener'i aynı şekilde hakaretler, linç kampanyalari ile yenmişlerdi ve diz cokturmuslerdi. aynı taktiğin ince'de işe yaramamasi imkansızdı. ince'ye oy vereceğini söylüyenlere edilmedik hakaret kalmadı, herkese aktrol, rende binası çalışanı, maaşlı trol dendi. bütün bunları yaparken istisnasız hepsi sahte anketler ile ince secmenini yıldırmak istediler. türk siyaset tarihinde eşi benzeri görülmemiş bir linç kampanyasına uğradı muharrem ince. en sonunda y-chpnin kanalları sahte kasetin üzerinde tepinip ""ozel hayata saygı duyulmalı"" bile dediler. hiç tereddüt etmeden inceyi bitirmek için ne kadar aşağılık operasyon varsa daniskasini yaptılar. inceyi bitirmek için ortaya attıkları sahte anketler şimdi y-chpnin eline ayağına dolanacak. kk yüzde 60 ile seçilecegim diyordu. y-chpnin götüne don alacak parası olmayan gururunu haysiyetini satılığa çıkarmış açlıktan nefesi kokan anketcilere yaptırdığı anketlerde yüzde 53 alan kk, şimdi dimdizlak ortada kaldı. o sahte anketler, sahte videolar, hakaretler, iftiralar sonunda inceyi devre dışı bıraktırdı ama 14 mayıs'ta kk'nin yüzde 40 bile alamayıp erdoğan'a kaybettiği ortaya çıktığında tarih bir kez daha muharrem inceyi haklı çıkaracak.alevi mezhepçiliginden gözü dönmüş y-chpliler hiçbir ahlaki değeri gözetmeden saldırdı muharrem inceye. 13 yıldır her kaybettikleri seçimde nasıl ki utanmadan istifa etmedilerse, yine de istifa etmemek için her şeyi yapacaklar. maalesef üzülerek belirtmek isterim ki mezhepçi olmayan sünni laik sekuler chp'li seçmen korkusundan bu mezhepçilere sesini çıkaramadi. akşenere ve inceye yapılanları gördükten sonra herkes ağzını yumdu, mezhepçilerin şerrinden korkup, muharrem inceye yapılan itibar suikastlerine sessiz kaldılar. böyle mi seçim kazanacağız, bel altı vurarak mi seçim kazanacağız, yıllardır akp'nin bize yaptıklarını inceye yaparak mi seçim kazanacağız diyemediler. ağızlarıni açıp bu kadarı da fazla dediklerinde o mezhepçi y-chpliler anında yoksa sen de mi aktrolsun diyeceklerini bildikleri için muharrem inceye yapılanları tiyatro izler gibi izlediler. chp'nin has evladı 40 yıllık chp'li muharrem inceye sarayın adamı dediklerinde, saraydan para aldı dediklerinde mezhepçilere kimse çıkıp da tepki göstermedi, yazıktır, yapmayın, etmeyin demediler. ömrü hayatında 1 kez bile siyasal islam'ın temsilcisi akp'ye oy vermemiş ince seçmenlerine aktrol dediler. o sizin piro dedeniz, 14 mayıs'ta yüzde 40 bile alamadığı ortaya çıktığında tıpış tıpış istifa edecek. öyle eskiden olduğu gibi oyumuzu artırdık diyip chp genel başkanı koltuğunda oturma devri kapandı. muharrem ince y-chpye asla teslim olmaz, bu mücadele burada bitmedi, bitmeyecek."
3,152305469,"şimdi türkiye'nin 2. yüzyılının umut kıvılcımları senin ellerinde hiç olmadığı kadar yakın. kadının, gencin, çocuğun umudunu taşıyorsun. türkiye'nin yarısını birleştirdin. umarım tüm türkiye'yi birleştirme fırsatını eline alır ve hakkını verirsin. <br><br>kaybedecek bir günü bile kalmadı bu ülkenin. asla yılgınlık gösterme, sonuna kadar mücadele et. cesaretini, vicdanını diri tut. gücü sana veren halkına hizmet ettiğini unutma. söyleminle değil eylemlerinle gümdem ol. hukuktan adaletten hesap vermekten asla yüz çevirme.<br><br>belki de bu ülkenin son şansını elinde tutuyorsun. elinden kayıp gitmesine izin verme. <br><br>tarihe bir not diyerek seçim öncesi bir entry daha gireyim dedim. karşıma kenarda dursun diyerek unuttuğum tamamlamadığım aylar öncesinin entrysi çıktı. adaylık tartışmaları olduğu dönemden... <br>--- <a class=""b"" href=""/?q=spoiler"">spoiler</a> ---<br><br>kendinize şu soruyu sorun... siz bir zihniyet değişimi mi istiyorsunuz yoksa cumhurbaşkanını mı değiştirmek istiyorsunuz?<br><br>eğer sadece cumhurbaşkanını değiştirmek ile ilgileniyor zihniyet değişimi peşinden geliyor diyorsanız size en iyi örnek recep tayyip erdoğan'ın ta kendisidir. size bu adam ve türevleri lazım gelmektedir. muharrem ince, ümit özdağ vb.<br><br>ne alaka canım demeyin? hele sakın küfür kıyamet mesaj kutumu doldurmayın. çünkü bunu yapmakla ancak beni haklı çıkarır, büyük biraderin diliyle konuştuğunuzu beyan etmiş olursunuz.<br><br>kendi fikrinin yobazı insanlardan nefret ederim. kılıçdaroğlu bu testi belki on kere geçmiş bir adamken bu teste mazur kalmamış kişileri öne çıkarmak siyaset bilmezliktir. mansur ve ekrem başkanların ahlakına ve niteliğine asla bir lafım yok. peki işin ucunda gücün tesiri altında yeni versiyon rte'ler görmeyeceğimizin garantisini verecek bir aklı başında adam var mı acaba?<br><br>bana çok kızacaksınız ama daha önce defalarca söylediğimi tekrar ifadeyim. ben bu seçimin kimin kazanacağı ile ilgilenmiyorum. bu seçimde millet kendi karakterini oylayacak. ne olduğuna karar verecek. ben buyum diyecek. eğer kılıçdaroğlu olursa tam da bu olacak. bir karar vereceğiz. sonuç zaten malumun ilanı olacak. ihtimal görmesemde belki kaybedilecek.<br>--- <a class=""b"" href=""/?q=spoiler"">spoiler</a> ---",giryan,1481508,1,13.05.2023 15:49,,"şimdi türkiye'nin 2. yüzyılının umut kıvılcımları senin ellerinde hiç olmadığı kadar yakın. kadının, gencin, çocuğun umudunu taşıyorsun. türkiye'nin yarısını birleştirdin. umarım tüm türkiye'yi birleştirme fırsatını eline alır ve hakkını verirsin. kaybedecek bir günü bile kalmadı bu ülkenin. asla yılgınlık gösterme, sonuna kadar mücadele et. cesaretini, vicdanını diri tut. gücü sana veren halkına hizmet ettiğini unutma. söyleminle değil eylemlerinle gümdem ol. hukuktan adaletten hesap vermekten asla yüz çevirme.belki de bu ülkenin son şansını elinde tutuyorsun. elinden kayıp gitmesine izin verme. tarihe bir not diyerek seçim öncesi bir entry daha gireyim dedim. karşıma kenarda dursun diyerek unuttuğum tamamlamadığım aylar öncesinin entrysi çıktı. adaylık tartışmaları olduğu dönemden... --- spoiler ---kendinize şu soruyu sorun... siz bir zihniyet değişimi mi istiyorsunuz yoksa cumhurbaşkanını mı değiştirmek istiyorsunuz?eğer sadece cumhurbaşkanını değiştirmek ile ilgileniyor zihniyet değişimi peşinden geliyor diyorsanız size en iyi örnek recep tayyip erdoğan'ın ta kendisidir. size bu adam ve türevleri lazım gelmektedir. muharrem ince, ümit özdağ vb.ne alaka canım demeyin? hele sakın küfür kıyamet mesaj kutumu doldurmayın. çünkü bunu yapmakla ancak beni haklı çıkarır, büyük biraderin diliyle konuştuğunuzu beyan etmiş olursunuz.kendi fikrinin yobazı insanlardan nefret ederim. kılıçdaroğlu bu testi belki on kere geçmiş bir adamken bu teste mazur kalmamış kişileri öne çıkarmak siyaset bilmezliktir. mansur ve ekrem başkanların ahlakına ve niteliğine asla bir lafım yok. peki işin ucunda gücün tesiri altında yeni versiyon rte'ler görmeyeceğimizin garantisini verecek bir aklı başında adam var mı acaba?bana çok kızacaksınız ama daha önce defalarca söylediğimi tekrar ifadeyim. ben bu seçimin kimin kazanacağı ile ilgilenmiyorum. bu seçimde millet kendi karakterini oylayacak. ne olduğuna karar verecek. ben buyum diyecek. eğer kılıçdaroğlu olursa tam da bu olacak. bir karar vereceğiz. sonuç zaten malumun ilanı olacak. ihtimal görmesemde belki kaybedilecek.--- spoiler ---"
4,152305838,"oğlunun bedelli askerlik yapmadan, çürük raporu almadan, aslanlar gibi gidip askerlik görevini yerine getirdiği 13. cumhurbaşkanımız: <a rel=""nofollow noopener"" class=""url"" target=""_blank"" href=""https://twitter.com/mevzubaykemale/status/1657358044005638145?s=20"" title=""https://twitter.com/mevzubaykemale/status/1657358044005638145?s=20"">https://twitter.com/…tatus/1657358044005638145?s=20</a><br><br>çakma milliyetçilere duyurulur.",jaheira,1695709,4,13.05.2023 15:59,,"oğlunun bedelli askerlik yapmadan, çürük raporu almadan, aslanlar gibi gidip askerlik görevini yerine getirdiği 13. cumhurbaşkanımız: https://twitter.com/…tatus/1657358044005638145?s=20çakma milliyetçilere duyurulur."
5,152305883,ah o çocuklarla ilgili son paylaşım. biz de çok heyecanlıyız çok çok çok. inşallah kazanıyorsun dedem. dede demek ağzımıza yapıştı ama babama daha çok benzetiyorum. <br><br>çocuklar inanmışsa olur. <br><br>ben kemal geliyorum!,max and mary,1505470,0,13.05.2023 16:01,,ah o çocuklarla ilgili son paylaşım. biz de çok heyecanlıyız çok çok çok. inşallah kazanıyorsun dedem. dede demek ağzımıza yapıştı ama babama daha çok benzetiyorum. çocuklar inanmışsa olur. ben kemal geliyorum!
6,152306348,"(bkz: <a class=""b"" href=""/?q=ilk+kez+cumhurba%c5%9fkan%c4%b1+g%c3%b6r%c3%bcyorum+diye+ba%c4%9f%c4%b1ran+%c3%a7ocuk"">ilk kez cumhurbaşkanı görüyorum diye bağıran çocuk</a>)<br><br>çocukların geleceği için gel <a class=""b"" href=""/?q=demokrat+dede"">demokrat dede</a>m. gel ki bitsin bu eziyet artık.",canabar beyin ceketi,2960188,1,13.05.2023 16:14,,(bkz: ilk kez cumhurbaşkanı görüyorum diye bağıran çocuk)çocukların geleceği için gel demokrat dedem. gel ki bitsin bu eziyet artık.
7,152306385,az kaldı bastır dedem!,gelirsen ekime gelmezsen sikime,1563466,1,13.05.2023 16:15,,az kaldı bastır dedem!
8,152306418,troll farelerin cirit attığı başlık. iyi kudurtmuşsun bu hıyarağalarını. hadi dede göster hünerini bakalım yarın ne olacak?,scarface89,1795279,1,13.05.2023 16:16,,troll farelerin cirit attığı başlık. iyi kudurtmuşsun bu hıyarağalarını. hadi dede göster hünerini bakalım yarın ne olacak?
9,152306506,"akp ilk seçildiğinde 12 yaşımdaydım. dededen ecevitçi bir ailede büyüdüm. akp kazandığı gün unutmuyorum yaşım ufak olmasına rağmen bir mağlubiyet hissi çökmüştü. çocuk aklımla bunun bir tür takım tutma olduğunu ve kaybeden tarafta olduğum hissi inanılmazdı. bu his o kadar aşılanmıştı ki iyi giden yıllarda bile hiç akp'ye oy vermedi ailem tabii ben de ilk oyum ve sonrakilerde chp'ye verdim. <br><br>kemal kılıçdaroğlu ile ilgili entry burada duruyor. kendisini eleştirmiştim. twitterda da eleştirdim çokça. ekrem imamoğlu ve mansur yavaş'ın en doğru aday olduğunu imamoğlu'nun birinci turda yavaş'ın ise 2. tur dahi olsa alacağını düşünüyordum. itiraf etmeliyim ki bugün kemal kılıçdaroğlu'nun kapasitesinin çok üzerinde bir iş çıkarttığını düşünüyorum. gerçekten harika bir süreç yönetti. <br><br>buradan troller hariç akp'ye oy veren insanlara da sesleniyorum. yarın sandıktan kemal kılıçdaroğlu çıkacak. sakın bir mağlubiyet hissetmeyin. eminimki bu adam sizlerin de hakkınızı savunacak. 20 sene bu ülkeyi yönetip karun kadar zenginleşen insanların artık bize hadi bizi geçtim size bile verecek bir şeyi kalmadı. beğenmezsek en azından bir sonraki seçimde kavgasız dövüşsüz yine göndeririz.<br><br>tayyip gider, süleyman gider ama pazartesi günü iş yerlerimizde, sokaklarda yine biz yüzyüze bakarız. demem o ki hiçbir siyasinin fanatizmini yapmayalım. bu ülke bana bir şey öğrettiyse o da fanatizmin salaklık olduğunu öğretti.<br><br>türkiye'nin 13. cumhurbaşkanı olarak kemal bey umarım sağduyulu ve hoşgörülü, yeniden birbirine kinle bakmayan bir ortam tesis eder. bir daha hiçbir partinin, hiçbir yöneticinin bu kadar güçlenip ülkeyi bu derece kaotik ortama sokmamasını sağlar. <br><br>33 yıllık ömrümde sadece 2014'de asker olduğum için oy kullanmadım. geçen yerel seçimde fanatiklik yapmadım ve muğla merkezde bağımsız adaya verdim. şimdi yarın ömrümün en rahat oyunu kullanacağım. kemal kılıçdaroğlu'na ve chp'ye gönlüm rahatça vereceğim.<br><br>edit: ben dahil bir çok muhalif ülkedeki iklimi yanlış okumuşuz. geçmiş olsun.",convid 23,2721322,7,13.05.2023 16:19,15.05.2023 08:25,"akp ilk seçildiğinde 12 yaşımdaydım. dededen ecevitçi bir ailede büyüdüm. akp kazandığı gün unutmuyorum yaşım ufak olmasına rağmen bir mağlubiyet hissi çökmüştü. çocuk aklımla bunun bir tür takım tutma olduğunu ve kaybeden tarafta olduğum hissi inanılmazdı. bu his o kadar aşılanmıştı ki iyi giden yıllarda bile hiç akp'ye oy vermedi ailem tabii ben de ilk oyum ve sonrakilerde chp'ye verdim. kemal kılıçdaroğlu ile ilgili entry burada duruyor. kendisini eleştirmiştim. twitterda da eleştirdim çokça. ekrem imamoğlu ve mansur yavaş'ın en doğru aday olduğunu imamoğlu'nun birinci turda yavaş'ın ise 2. tur dahi olsa alacağını düşünüyordum. itiraf etmeliyim ki bugün kemal kılıçdaroğlu'nun kapasitesinin çok üzerinde bir iş çıkarttığını düşünüyorum. gerçekten harika bir süreç yönetti. buradan troller hariç akp'ye oy veren insanlara da sesleniyorum. yarın sandıktan kemal kılıçdaroğlu çıkacak. sakın bir mağlubiyet hissetmeyin. eminimki bu adam sizlerin de hakkınızı savunacak. 20 sene bu ülkeyi yönetip karun kadar zenginleşen insanların artık bize hadi bizi geçtim size bile verecek bir şeyi kalmadı. beğenmezsek en azından bir sonraki seçimde kavgasız dövüşsüz yine göndeririz.tayyip gider, süleyman gider ama pazartesi günü iş yerlerimizde, sokaklarda yine biz yüzyüze bakarız. demem o ki hiçbir siyasinin fanatizmini yapmayalım. bu ülke bana bir şey öğrettiyse o da fanatizmin salaklık olduğunu öğretti.türkiye'nin 13. cumhurbaşkanı olarak kemal bey umarım sağduyulu ve hoşgörülü, yeniden birbirine kinle bakmayan bir ortam tesis eder. bir daha hiçbir partinin, hiçbir yöneticinin bu kadar güçlenip ülkeyi bu derece kaotik ortama sokmamasını sağlar. 33 yıllık ömrümde sadece 2014'de asker olduğum için oy kullanmadım. geçen yerel seçimde fanatiklik yapmadım ve muğla merkezde bağımsız adaya verdim. şimdi yarın ömrümün en rahat oyunu kullanacağım. kemal kılıçdaroğlu'na ve chp'ye gönlüm rahatça vereceğim.edit: ben dahil bir çok muhalif ülkedeki iklimi yanlış okumuşuz. geçmiş olsun."
