,id,body,author,author_id,fav_count,created_at,updated_at,cleaned_body
0,152313600,"ülkesinin safrası, ne yaptığını bilmeyip herşeyi eline yüzüne bulaştıran sözde politikacısı",epiktetos1908,2185468,5,13.05.2023 19:22,,"ülkesinin safrası, ne yaptığını bilmeyip herşeyi eline yüzüne bulaştıran sözde politikacısı"
1,152314130,kime oy vereceğini en çok merak ettiklerim sıralamasında ikinci sırada yer alıyor. birincisi halen rütbeli askerler...,kendini arayan adamin kendi,842485,0,13.05.2023 19:35,,kime oy vereceğini en çok merak ettiklerim sıralamasında ikinci sırada yer alıyor. birincisi halen rütbeli askerler...
2,152315471,tam bir lise öğretmeni ne eksik ne fazla. sözde herşeyi biliyor ama gerçek dünyada çaresiz.,oekonomist,2041323,2,13.05.2023 20:10,,tam bir lise öğretmeni ne eksik ne fazla. sözde herşeyi biliyor ama gerçek dünyada çaresiz.
3,152315635,yahu ogan bile sonunda kalbinin doğru yerde olduğu gösterdi. cehennemin zebanilerine iyi bir tokat vurdu. sen hala sessizsin. tamam bir oy memleket partisine. ama diğer oy için neden kılıçdaroğlunu işaret etmiyorsun. hepimiz biliyoruz sana iftirayı atan erdoğan. ama diyelim muhalefet attı. seçimi erdoğan kazanirsa gerçekte siyasi gelecek görüyor musun. ya erdoğan'a yanasacaksin ya da biteceksin. ama kemal dede ile siyasi ortam şenlenecek. zor ama chp liderliğine bile oynarsın. inşallah yanilirim ama korkum erdoğan'la anlasman ve de erdoğan'ın sana chp liderligi sözü vermiş olması. muhtemelen kazanan erdoğan yavaş ile imamoğlunu içeri attıracak. sen de sessiz kalıp chp liderliğini kabul mü edeceksin,totolog,1935785,0,13.05.2023 20:14,,yahu ogan bile sonunda kalbinin doğru yerde olduğu gösterdi. cehennemin zebanilerine iyi bir tokat vurdu. sen hala sessizsin. tamam bir oy memleket partisine. ama diğer oy için neden kılıçdaroğlunu işaret etmiyorsun. hepimiz biliyoruz sana iftirayı atan erdoğan. ama diyelim muhalefet attı. seçimi erdoğan kazanirsa gerçekte siyasi gelecek görüyor musun. ya erdoğan'a yanasacaksin ya da biteceksin. ama kemal dede ile siyasi ortam şenlenecek. zor ama chp liderliğine bile oynarsın. inşallah yanilirim ama korkum erdoğan'la anlasman ve de erdoğan'ın sana chp liderligi sözü vermiş olması. muhtemelen kazanan erdoğan yavaş ile imamoğlunu içeri attıracak. sen de sessiz kalıp chp liderliğini kabul mü edeceksin
4,152316666,meral akşener'in tuzağına düşüp ata ittifakını bozan kişi. siyasi geleceği pek parlak görünmüyor. bu noktadan sonra toparlayamaz diye düşünüyorum.,intergalactic troll,2001254,1,13.05.2023 20:40,,meral akşener'in tuzağına düşüp ata ittifakını bozan kişi. siyasi geleceği pek parlak görünmüyor. bu noktadan sonra toparlayamaz diye düşünüyorum.
5,152318618,2024 yerel seçimlerinde ak parti izmir büyükşehir belediye başkanı adayı olacağını düşündüğüm kişi. at fav'a bekle,kasetten canli,1377448,5,13.05.2023 21:30,13.05.2023 21:31,2024 yerel seçimlerinde ak parti izmir büyükşehir belediye başkanı adayı olacağını düşündüğüm kişi. at fav'a bekle
6,152321699,"kazanamazlarsa adamın emdiği sütü burnundan getireceklerdi ben olsam bende istifa ederdim.büyük şamar oğlanı,günah keçisi,şeytan taşlama duvarı olacaktı,göze alınacak bir durum değildi.adamı salmadılar bi demokratik hakkını kullanamayan siyasetçi olarak yorumlayabiliriz.",fazy,2194641,2,13.05.2023 22:36,,"kazanamazlarsa adamın emdiği sütü burnundan getireceklerdi ben olsam bende istifa ederdim.büyük şamar oğlanı,günah keçisi,şeytan taşlama duvarı olacaktı,göze alınacak bir durum değildi.adamı salmadılar bi demokratik hakkını kullanamayan siyasetçi olarak yorumlayabiliriz."
7,152323680,"avukatı ve can yoldaşı fidel, erdoğan’a desteğini açıkladı twitter’dan :)",bambito,2167115,2,13.05.2023 23:13,,"avukatı ve can yoldaşı fidel, erdoğan’a desteğini açıkladı twitter’dan :)"
8,152323745,"kemal kılıçdaroğlu için ""yanına akplileri aldı"" demişti. partisinde vekil adayı yaptığı ve kendisine en yakın isimlerden biri olan fidel okan için ne düşünüyor acaba? fidel okan denen şahsın fatih tezcan ile boy boy fotoğrafları çıktığında sessiz kalmıştı. şimdi de yine çok sevdiği bu arkadaş erdoğan'a desteğini açıkladı.<br><br><a rel=""nofollow noopener"" class=""url"" target=""_blank"" href=""https://twitter.com/FidelOKAN/status/1657466411403431939?s=20"" title=""https://twitter.com/FidelOKAN/status/1657466411403431939?s=20"">fidel okan reisi için oy dileniyor</a><br><br>diyecek bir söz yok. chp'ye demediğini bırakmadın ancak partinin içinde atatürk ve inönü'ye iki ayyaş diyenlerle birlikte yol yürüyenlere ses çıkarmıyorsun.",onerh,2190439,1,13.05.2023 23:15,,"kemal kılıçdaroğlu için ""yanına akplileri aldı"" demişti. partisinde vekil adayı yaptığı ve kendisine en yakın isimlerden biri olan fidel okan için ne düşünüyor acaba? fidel okan denen şahsın fatih tezcan ile boy boy fotoğrafları çıktığında sessiz kalmıştı. şimdi de yine çok sevdiği bu arkadaş erdoğan'a desteğini açıkladı.fidel okan reisi için oy dileniyordiyecek bir söz yok. chp'ye demediğini bırakmadın ancak partinin içinde atatürk ve inönü'ye iki ayyaş diyenlerle birlikte yol yürüyenlere ses çıkarmıyorsun."
9,152324184,"iyi bir insan olabilir ama siyasi analiz ve okuma noktasında çok zayıf kaldığını 2018 seçimlerinde seçim sonrası iletişimi ile gördük, bu seçimde en azından partisi ata ittifakında olsa meclise girmeleri kesin diyebilirdim, ancak akşener masadan kalkınca kendisiyle ittifak kuracağını düşünerek zafer'i bırakıp gitti ve akşener geri dönünce tek başına girmek zorunda kaldılar bu da tamamen siyasi okumanın zayıflığından ve popülist siyaset gütmesinden kaynaklı.",sen sus laaan,2433133,1,13.05.2023 23:22,,"iyi bir insan olabilir ama siyasi analiz ve okuma noktasında çok zayıf kaldığını 2018 seçimlerinde seçim sonrası iletişimi ile gördük, bu seçimde en azından partisi ata ittifakında olsa meclise girmeleri kesin diyebilirdim, ancak akşener masadan kalkınca kendisiyle ittifak kuracağını düşünerek zafer'i bırakıp gitti ve akşener geri dönünce tek başına girmek zorunda kaldılar bu da tamamen siyasi okumanın zayıflığından ve popülist siyaset gütmesinden kaynaklı."
