,id,body,author,author_id,fav_count,created_at,updated_at,cleaned_body
0,152315046,"ya bu <a class=""b"" href=""/?q=%c3%b6zg%c3%bcr+demirta%c5%9f"">özgür demirtaş</a> vari yapay zeka bizi yönetsin vibe'inda hiç değilim (bu arada yapay zeka uzmanıyım), ama keşke yapay zeka vb. herkese vatan-millet için bir katkı puanı atasa da, masaya koyup öyle konuşsak.<br><br>42 yaşındayım, 20 yaşımdan beri çalışıyorum, bunun ötesinde kendimi bildim bileli doğduğum büyüdüğüm yeri, sokağımı mahallemi, ülkemi hep daha yaşanılabilir bir yer yapmak için çalıştım. ama sırf kürt sorunu silahsiz çözülsün dediğim için muhtemelen bir takım sinan savunucuları tarafından vatan haini ilan edilebilirim. <br><br>hangi metrikle ölçülürse ölçülsün, gerek sinan, gerekse destekçilerinin büyük çoğunluğunun çok ötesinde maddi ve itibar katkım vardır ülkeye (cv'se cv, doktoraysa doktora). ama işte 2. tura kalırsa oturup bakanlık pazarlığı yaparız diyen adam vatansever olurken, medeniyetin uzak ara gerisinde bir iktidar ilk turda değişsin diyenler neredeyse vatan haini olabiliyor.",zin,492447,4,13.05.2023 19:58,,"ya bu özgür demirtaş vari yapay zeka bizi yönetsin vibe'inda hiç değilim (bu arada yapay zeka uzmanıyım), ama keşke yapay zeka vb. herkese vatan-millet için bir katkı puanı atasa da, masaya koyup öyle konuşsak.42 yaşındayım, 20 yaşımdan beri çalışıyorum, bunun ötesinde kendimi bildim bileli doğduğum büyüdüğüm yeri, sokağımı mahallemi, ülkemi hep daha yaşanılabilir bir yer yapmak için çalıştım. ama sırf kürt sorunu silahsiz çözülsün dediğim için muhtemelen bir takım sinan savunucuları tarafından vatan haini ilan edilebilirim. hangi metrikle ölçülürse ölçülsün, gerek sinan, gerekse destekçilerinin büyük çoğunluğunun çok ötesinde maddi ve itibar katkım vardır ülkeye (cv'se cv, doktoraysa doktora). ama işte 2. tura kalırsa oturup bakanlık pazarlığı yaparız diyen adam vatansever olurken, medeniyetin uzak ara gerisinde bir iktidar ilk turda değişsin diyenler neredeyse vatan haini olabiliyor."
1,152315219,"adam “cehennemin kapılarını kapatacağız. her şey çok güzel olacak” dedi. daha ne desin artık?<br><br>edit: sinan oğan destekçisi kardeşlerim favoriye ekliyor. en büyük dileğim, şu cehennem kapılarını beraber kapatalım, oğan da mhp'nin başına geçsin. farklı parti başkanlarının birbirine düşman olmadığı, aynı masada oturup tartışabildikleri günler geri gelsin. <br><br>#ilkturdabitirelim<br><br>edit2: ne kadar da iyimsermişim. bu da tarihin karanlık sayfalarında yerini aldı. soylu&bahçeli karışımı bir şey olur, tüküre tüküre küfürler edip herkese terörist diye bağırır artık.",linus,33828,20,13.05.2023 20:03,22.05.2023 17:51,"adam “cehennemin kapılarını kapatacağız. her şey çok güzel olacak” dedi. daha ne desin artık?edit: sinan oğan destekçisi kardeşlerim favoriye ekliyor. en büyük dileğim, şu cehennem kapılarını beraber kapatalım, oğan da mhp'nin başına geçsin. farklı parti başkanlarının birbirine düşman olmadığı, aynı masada oturup tartışabildikleri günler geri gelsin. #ilkturdabitirelimedit2: ne kadar da iyimsermişim. bu da tarihin karanlık sayfalarında yerini aldı. soylu&bahçeli karışımı bir şey olur, tüküre tüküre küfürler edip herkese terörist diye bağırır artık."
2,152315355,"pazarlık <a rel=""nofollow noopener"" class=""url"" target=""_blank"" href=""https://twitter.com/etkilihaber/status/1657294140726562816"" title=""https://twitter.com/etkilihaber/status/1657294140726562816"">videosunun</a> sonunda ""yolumuza bakacağız"" dediği yerde yüzüne iyi bakın, gayet açık bir kibir belli oluyor. <br><br>aynı kibir davutoğlu ve babacan'da da var. aynı kumaş, tat, doku, renk, koku... <br><br>türkiye'de bütün sağcılar aslında tek bir partidir. sağ partisi...",yatan marx,2222454,1,13.05.2023 20:07,,"pazarlık videosunun sonunda ""yolumuza bakacağız"" dediği yerde yüzüne iyi bakın, gayet açık bir kibir belli oluyor. aynı kibir davutoğlu ve babacan'da da var. aynı kumaş, tat, doku, renk, koku... türkiye'de bütün sağcılar aslında tek bir partidir. sağ partisi..."
3,152315699,söylediklerini öğrendiğimde hayal kırıklığına uğradım resmen. biz seni böyle tanımamoştkk.<br>seçim yaklaştıkça herkes asıl yüzünü gösteriyor. bu işi ilk turda bitirmeliyiz.,bjklikiz61,2377583,1,13.05.2023 20:16,,söylediklerini öğrendiğimde hayal kırıklığına uğradım resmen. biz seni böyle tanımamoştkk.seçim yaklaştıkça herkes asıl yüzünü gösteriyor. bu işi ilk turda bitirmeliyiz.
4,152316342,"bu seçimi ilk turda kazanmak isteyen mansuru aday gösterirdi,<br>parmak boyası, yabancı seçmenler ve yıllardır delik deşik edilen seçim kanunlarına tepki gösterirdi. <br>varsa yoksa vatanseverlere saldırıyorsunuz akpye seçimi vermek için çalışanlar varsa onlar da sizlersiniz.",kenjataimu,1472291,24,13.05.2023 20:33,13.05.2023 20:33,"bu seçimi ilk turda kazanmak isteyen mansuru aday gösterirdi,parmak boyası, yabancı seçmenler ve yıllardır delik deşik edilen seçim kanunlarına tepki gösterirdi. varsa yoksa vatanseverlere saldırıyorsunuz akpye seçimi vermek için çalışanlar varsa onlar da sizlersiniz."
5,152317047,"ekrem imamoğlu ve mansur yavaş aday olsalar sinan oğan’a oy vermezdik diyen insanlara bir şey hatırlatmak istiyorum.<br><br>imamoğlu ve yavaş 2019 yerel seçimi boyunca sürekli pkk’lılarla işbirliği yapma iftirasına uğradılar. sürekli belediyeler pkklılarla dolacak, faturaları pkklılar okuyacak deniyordu. böyle bir şey oldu mu peki? hayır.<br><br>bu seçimde de ikisinden biri aday olsa gene aynı şekilde muhalefet terörist propagandası dönecekti. iktidarın muhalefeti şeytanlaştırmak dışında halka vaat ettiği hiçbir şey yok. ülkeye 10 milyon ne idüğü belirsiz sapık mülteciyi dolduranlar vatansever buna karşı çıkanlar terörist oldu. o yüzden tercihinize bir şey demek istemiyorum son gün ama bunu hatırlatmak istedim. iktidar ne yaparsa helal muhalefet ne yaparsa haram. bu isimlerden bağımsız.<br><br>millet ittifakının adayı sinan oğan olsaydı ona da ne iftiralar atılacaktı bir düşünün. yılların ülkücüsü mansur’a yaptıkları gibi aynı şekilde benzer iftiraları oğan için de atacaklardı.",gddr5,1506927,5,13.05.2023 20:50,13.05.2023 20:52,"ekrem imamoğlu ve mansur yavaş aday olsalar sinan oğan’a oy vermezdik diyen insanlara bir şey hatırlatmak istiyorum.imamoğlu ve yavaş 2019 yerel seçimi boyunca sürekli pkk’lılarla işbirliği yapma iftirasına uğradılar. sürekli belediyeler pkklılarla dolacak, faturaları pkklılar okuyacak deniyordu. böyle bir şey oldu mu peki? hayır.bu seçimde de ikisinden biri aday olsa gene aynı şekilde muhalefet terörist propagandası dönecekti. iktidarın muhalefeti şeytanlaştırmak dışında halka vaat ettiği hiçbir şey yok. ülkeye 10 milyon ne idüğü belirsiz sapık mülteciyi dolduranlar vatansever buna karşı çıkanlar terörist oldu. o yüzden tercihinize bir şey demek istemiyorum son gün ama bunu hatırlatmak istedim. iktidar ne yaparsa helal muhalefet ne yaparsa haram. bu isimlerden bağımsız.millet ittifakının adayı sinan oğan olsaydı ona da ne iftiralar atılacaktı bir düşünün. yılların ülkücüsü mansur’a yaptıkları gibi aynı şekilde benzer iftiraları oğan için de atacaklardı."
6,152317226,"14 mayıs gecesi sonuçlar;<br><br>erdoğan %45,5<br>kilicdar %47<br>ogan %5,5<br>diğer %2<br><br>ikinci turda sinan ogan kimi işaret ederse o başkan olur. başkanı belirleyecek tek güç kendisinde olacak. <br><br>sinan ogan hiçbir bakanlık talep etmez, sessiz kalırsa %5 nasıl hareket eder? bence sinan ogan seçmenleri arasında cumhur ittifakına yakın seçmen sayısı daha fazla olduğu için ikinci tur seçim %49,5-50,5 şeklinde sonuçlanır. kimin kazanacağı belli olmamakla birlikte ben ve benim gibi düşünenler kılıçdaroğlu'na verir oyunu. diğerleri ya boş oy atar, ya da çoğunluk erdoğan'a atar. <br><br>ama isterim ki millet ittifakı iyi bakanlıklar teklif etsin ki ben de oyumu kılıçdaroğlu'na içim kan ağlayarak değil, sesimizi meclise, iktidara , yönetime taşıdığı için gönül rahatlığıyla vereyim.",globalwarning,2066265,3,13.05.2023 20:54,,"14 mayıs gecesi sonuçlar;erdoğan %45,5kilicdar %47ogan %5,5diğer %2ikinci turda sinan ogan kimi işaret ederse o başkan olur. başkanı belirleyecek tek güç kendisinde olacak. sinan ogan hiçbir bakanlık talep etmez, sessiz kalırsa %5 nasıl hareket eder? bence sinan ogan seçmenleri arasında cumhur ittifakına yakın seçmen sayısı daha fazla olduğu için ikinci tur seçim %49,5-50,5 şeklinde sonuçlanır. kimin kazanacağı belli olmamakla birlikte ben ve benim gibi düşünenler kılıçdaroğlu'na verir oyunu. diğerleri ya boş oy atar, ya da çoğunluk erdoğan'a atar. ama isterim ki millet ittifakı iyi bakanlıklar teklif etsin ki ben de oyumu kılıçdaroğlu'na içim kan ağlayarak değil, sesimizi meclise, iktidara , yönetime taşıdığı için gönül rahatlığıyla vereyim."
7,152317320,"denklemimside dağı taşı ihtiva eder ve benim için geçerlidir.<br><br>denklemimsi: ... ... s..ti..ğime dağa taşa s...rim<br><br>en azından gözümün içine baka baka dalga geçmiyor, bu bana yeter.",holysh1t,1505941,0,13.05.2023 20:57,,"denklemimside dağı taşı ihtiva eder ve benim için geçerlidir.denklemimsi: ... ... s..ti..ğime dağa taşa s...rimen azından gözümün içine baka baka dalga geçmiyor, bu bana yeter."
8,152318044,"tayyip abi'ye gidip ""bende 1-2 puan var, bakanlıklar ve cumhurbaşkanı yardımcısı olmak istiyorum."" derse kabul edebilir. tayyip abi 1-2 puana hayır demez, ""şu x şu y bakanı olacak, bu cumhurbaşkanı yardımcısı olacak"" da demedi.<br><br>bay kemal'e hiç gitmesin giderse ""ben 5+2 cumhurbaşkanı yardımcısı dağıttım 6+2 yapamayacağım yok artık ebesinin yetmedi bakanlıklar dağıttım yetmedi partimden 77 kontejyan dağıttım. beni bir rahat bırakın"" cevabını alması muhtemel.<br><br>çok geç olmadan şu 1-2 saatte tayyip abi'ye gitsin yoksa ucundan belki koparabileceği avantayı tayyip abi seçilirse alabilir.<br><br>satılık cumhurbaşkanı adayı. tam aradığımız türk tipi cumhurbaşkanı adayı. seçimin sürpriz olmayan sonucu kendisinin babaları alacak olması. hangi bakanlığı istiyorsa söylesin aramızda üç beş ne toplarsak.<br><br>birde kendisi tayyip abi ve bay kemal'e ""bu akşam gelin bir kahve içelim, türkiye gerginlik ortamından kurtulsun. "" demiş. kimseden yanıt gelmemiş. bu oğan'ın daha kahve teklifini kabul etmiyorlar kendisi gelin güvey oluyor bakanlık cumhurbaşkanlığı yardımcısında masada müzakere yapacağını falan söylüyor. ülkü adlı oluşumdan çıkma bu veteran vatan millet sakarya oluşumunun da son saniye ney karşılığında satılık olduğunu bir kez daha görüldü. işte türkiye siyaseti böyle leş, böyle rezil bir siyaset.",bruderdeniz,1801136,2,13.05.2023 21:14,13.05.2023 21:17,"tayyip abi'ye gidip ""bende 1-2 puan var, bakanlıklar ve cumhurbaşkanı yardımcısı olmak istiyorum."" derse kabul edebilir. tayyip abi 1-2 puana hayır demez, ""şu x şu y bakanı olacak, bu cumhurbaşkanı yardımcısı olacak"" da demedi.bay kemal'e hiç gitmesin giderse ""ben 5+2 cumhurbaşkanı yardımcısı dağıttım 6+2 yapamayacağım yok artık ebesinin yetmedi bakanlıklar dağıttım yetmedi partimden 77 kontejyan dağıttım. beni bir rahat bırakın"" cevabını alması muhtemel.çok geç olmadan şu 1-2 saatte tayyip abi'ye gitsin yoksa ucundan belki koparabileceği avantayı tayyip abi seçilirse alabilir.satılık cumhurbaşkanı adayı. tam aradığımız türk tipi cumhurbaşkanı adayı. seçimin sürpriz olmayan sonucu kendisinin babaları alacak olması. hangi bakanlığı istiyorsa söylesin aramızda üç beş ne toplarsak.birde kendisi tayyip abi ve bay kemal'e ""bu akşam gelin bir kahve içelim, türkiye gerginlik ortamından kurtulsun. "" demiş. kimseden yanıt gelmemiş. bu oğan'ın daha kahve teklifini kabul etmiyorlar kendisi gelin güvey oluyor bakanlık cumhurbaşkanlığı yardımcısında masada müzakere yapacağını falan söylüyor. ülkü adlı oluşumdan çıkma bu veteran vatan millet sakarya oluşumunun da son saniye ney karşılığında satılık olduğunu bir kez daha görüldü. işte türkiye siyaseti böyle leş, böyle rezil bir siyaset."
9,152318167,buna vereceğiniz oylar tayyip'le yapacağı pazarlığın sermayesi olacak. <br>ne olduğu ortaya çıktı.,terlikli hayvan,1305066,8,13.05.2023 21:18,,buna vereceğiniz oylar tayyip'le yapacağı pazarlığın sermayesi olacak. ne olduğu ortaya çıktı.
